jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,posicion,team_id,href,prob,lesion,sancion
Ramon Enriquez,-17184,803052,820236,881574,Mediocampista,11,https://www.futbolfantasy.com/jugadores/ramon-enriquez,50%,-1,0
Dani Lorenzo,-35102,9681364,9716466,9354977,Mediocampista,11,https://www.futbolfantasy.com/jugadores/dani-lorenzo,0%,-1,0
Izan Merino,-100448,6231131,6331579,6669344,Mediocampista,11,https://www.futbolfantasy.com/jugadores/izan-merino,0%,-1,0
Alex Pastor,1319,377641,376322,388269,Defensa,11,https://www.futbolfantasy.com/jugadores/alex-pastor,0%,-1,0
Dani Sanchez,-13101,705041,718142,815637,Defensa,11,https://www.futbolfantasy.com/jugadores/dani-sanchez,30%,-1,0
Einar Galilea,-60246,3841078,3901324,4122737,Defensa,11,https://www.futbolfantasy.com/jugadores/einar-galilea,80%,-1,0
Diego Murillo,-58650,1959345,2017995,2422879,Defensa,11,https://www.futbolfantasy.com/jugadores/diego-murillo,0%,0,0
Carlos Puga,-72652,5170493,5243145,5527061,Defensa,11,https://www.futbolfantasy.com/jugadores/carlos-puga,70%,-1,0
Alvaro Fernandez,-67812,4582647,4650459,5131138,Portero,6,https://www.futbolfantasy.com/jugadores/alvaro-fernandez,20%,-1,0
Georges Mikautadze,237605,63027152,62789547,57967425,Delantero,22,https://www.futbolfantasy.com/jugadores/georges-mikautadze,80%,-1,0
Pedro Diaz,-22761,1738489,1761250,1926200,Mediocampista,14,https://www.futbolfantasy.com/jugadores/pedro-diaz,40%,-1,0
Williot Swedberg,-84238,7948266,8032504,8326849,Mediocampista,5,https://www.futbolfantasy.com/jugadores/williot-swedberg,50%,-1,0
Eric Garcia,27063,44561815,44534752,47294864,Defensa,3,https://www.futbolfantasy.com/jugadores/eric-garcia,50%,-1,0
Yangel Herrera,-30854,3025629,3056483,3160339,Mediocampista,16,https://www.futbolfantasy.com/jugadores/yangel-herrera,50%,-1,0
Juan Iglesias,34300,11842262,11807962,12548352,Defensa,17,https://www.futbolfantasy.com/jugadores/juan-iglesias,80%,-1,0
Borja Mayoral,-53035,2912333,2965368,3026716,Delantero,8,https://www.futbolfantasy.com/jugadores/borja-mayoral,50%,-1,0
David Soria,480959,20457679,19976720,19296354,Portero,8,https://www.futbolfantasy.com/jugadores/david-soria,95%,-1,0
Jose Angel Carmona,-72827,4264488,4337315,4472138,Defensa,17,https://www.futbolfantasy.com/jugadores/jose-angel-carmona,0%,-1,0
Carles Aleña,-75303,3805513,3880816,3989422,Mediocampista,28,https://www.futbolfantasy.com/jugadores/carles-aleña,0%,-1,0
Enes Unal,-40057,12406202,12446259,0,Delantero,8,https://www.futbolfantasy.com/jugadores/enes-unal,50%,-1,0
Dakonam Djene,125493,8779040,8653547,8432492,Defensa,8,https://www.futbolfantasy.com/jugadores/dakonam-djene,80%,-1,0
Miguel Rodriguez,-89606,3055637,3145243,0,Delantero,28,https://www.futbolfantasy.com/jugadores/miguel-rodriguez,0%,-1,0
Ivan Villar,-22935,941062,963997,1071922,Portero,5,https://www.futbolfantasy.com/jugadores/ivan-villar,0%,-1,0
Miguel Angel Rubio,-6717,551834,558551,621073,Defensa,7,https://www.futbolfantasy.com/jugadores/miguel-angel-rubio,0%,-1,0
Iago Aspas,-66284,7091817,7158101,7698751,Delantero,5,https://www.futbolfantasy.com/jugadores/iago-aspas,40%,-1,0
Carles Perez,-31340,1142781,1174121,1384178,Delantero,5,https://www.futbolfantasy.com/jugadores/carles-perez,0%,-1,0
Carlos Dotor,-102480,3446305,3548785,4014904,Mediocampista,11,https://www.futbolfantasy.com/jugadores/carlos-dotor,0%,0,0
Unai Nuñez,32477,3706754,3674277,3638425,Defensa,7,https://www.futbolfantasy.com/jugadores/unai-nuñez,0%,-1,0
Carl Starfelt,87751,14070986,13983235,12939598,Defensa,5,https://www.futbolfantasy.com/jugadores/carl-starfelt,60%,-1,0
Victor Chust,-44124,4618879,4663003,5019376,Defensa,21,https://www.futbolfantasy.com/jugadores/victor-chust,80%,-1,0
Robert Navarro,-3330,2127538,2130868,2065481,Mediocampista,1,https://www.futbolfantasy.com/jugadores/robert-navarro,0%,-1,0
Aitor Ruibal,-65895,2212557,2278452,2733279,Delantero,4,https://www.futbolfantasy.com/jugadores/aitor-ruibal,0%,0,0
Isco Alarcon,-297900,54601302,54899202,57538506,Mediocampista,4,https://www.futbolfantasy.com/jugadores/isco-alarcon,50%,-1,0
Marc Roca,5726,5409461,5403735,5086282,Mediocampista,4,https://www.futbolfantasy.com/jugadores/marc-roca,60%,-1,0
Lucas Boye,-330894,11663227,11994121,13826038,Delantero,28,https://www.futbolfantasy.com/jugadores/lucas-boye,50%,-1,0
Sergi Cardona,-27503,4657132,4684635,4786269,Defensa,22,https://www.futbolfantasy.com/jugadores/sergi-cardona,30%,-1,0
Marc Bartra,-110070,27776249,27886319,27206681,Defensa,4,https://www.futbolfantasy.com/jugadores/marc-bartra,0%,-1,0
Ante Budimir,514479,51492940,50978461,46945550,Delantero,13,https://www.futbolfantasy.com/jugadores/ante-budimir,90%,-1,0
Dani Cardenas,-7853,579107,586960,642135,Portero,14,https://www.futbolfantasy.com/jugadores/dani-cardenas,5%,-1,0
Randy Nteka,-3801,1252537,1256338,1373628,Delantero,14,https://www.futbolfantasy.com/jugadores/randy-nteka,50%,-1,0
Isi Palazon,390565,19707731,19317166,15904226,Delantero,14,https://www.futbolfantasy.com/jugadores/isi-palazon,80%,-1,0
Andrei Ratiu,80855,35678553,35597698,35997209,Defensa,14,https://www.futbolfantasy.com/jugadores/andrei-ratiu,0%,-1,0
Stole Dimitrievski,278144,14676072,14397928,12050975,Portero,18,https://www.futbolfantasy.com/jugadores/stole-dimitrievski,90%,-1,0
Iker Muñoz,-22087,1339790,1361877,1408000,Mediocampista,13,https://www.futbolfantasy.com/jugadores/iker-muñoz,0%,-1,0
Jorge Herrando,-35605,1636106,1671711,1852746,Defensa,13,https://www.futbolfantasy.com/jugadores/jorge-herrando,50%,-1,0
Alejandro Catena,-284080,33665080,33949160,35765188,Defensa,13,https://www.futbolfantasy.com/jugadores/alejandro-catena,80%,-1,0
Johan Mojica,-180611,11541449,11722060,0,Defensa,8,https://www.futbolfantasy.com/jugadores/johan-mojica,50%,-1,0
Pablo Ibañez,26742,3315548,3288806,3250688,Mediocampista,28,https://www.futbolfantasy.com/jugadores/pablo-ibañez,0%,-1,0
Moi Gomez,-39231,1957316,1996547,2183965,Mediocampista,13,https://www.futbolfantasy.com/jugadores/moi-gomez,30%,-1,0
Javi Muñoz,-9062,608115,617177,689925,Mediocampista,8,https://www.futbolfantasy.com/jugadores/javi-muñoz,0%,-1,0
Ruben Garcia,97404,13955598,13858194,13014245,Mediocampista,13,https://www.futbolfantasy.com/jugadores/ruben-garcia,60%,-1,0
Aitor Fernandez,-4314,494152,498466,534186,Portero,13,https://www.futbolfantasy.com/jugadores/aitor-fernandez,30%,-1,0
Jesus Areso,14857,2895688,2880831,2630613,Defensa,1,https://www.futbolfantasy.com/jugadores/jesus-areso,0%,-1,0
Kike Barja,-63081,2450279,2513360,2810828,Delantero,13,https://www.futbolfantasy.com/jugadores/kike-barja,30%,-1,0
Aimar Oroz,72397,16079326,16006929,15159453,Mediocampista,13,https://www.futbolfantasy.com/jugadores/aimar-oroz,70%,-1,0
Jon Moncayola,41826,6898094,6856268,6341824,Mediocampista,13,https://www.futbolfantasy.com/jugadores/jon-moncayola,90%,-1,0
Lucas Torro,-35193,2431793,2466986,2573160,Mediocampista,13,https://www.futbolfantasy.com/jugadores/lucas-torro,0%,-1,0
Sergio Herrera,-266102,39336407,39602509,39038859,Portero,13,https://www.futbolfantasy.com/jugadores/sergio-herrera,70%,-1,0
Jose Manuel Copete,-58472,1819185,1877657,2276225,Defensa,18,https://www.futbolfantasy.com/jugadores/jose-manuel-copete,0%,0,0
Alvaro Valles,304481,33417989,33113508,29497248,Portero,4,https://www.futbolfantasy.com/jugadores/alvaro-valles,95%,-1,0
Alberto Moleiro,125538,67526058,67400520,62302917,Mediocampista,22,https://www.futbolfantasy.com/jugadores/alberto-moleiro,60%,-1,0
Juan Cruz,-115182,15454450,15569632,0,Mediocampista,11,https://www.futbolfantasy.com/jugadores/juan-cruz,0%,-1,0
Ayoze Perez,355865,17707889,17352024,15847028,Delantero,22,https://www.futbolfantasy.com/jugadores/ayoze-perez,50%,-1,0
Alvaro Garcia,497496,18708849,18211353,17388052,Mediocampista,14,https://www.futbolfantasy.com/jugadores/alvaro-garcia,70%,-1,0
Marc Pubill,-602560,58180401,58782961,65815302,Defensa,2,https://www.futbolfantasy.com/jugadores/marc-pubill,50%,-1,0
Gorka Guruzeta,216855,14004638,13787783,12781696,Delantero,1,https://www.futbolfantasy.com/jugadores/gorka-guruzeta,80%,-1,0
Nico Williams,-605335,62990083,63595418,70216837,Delantero,1,https://www.futbolfantasy.com/jugadores/nico-williams,50%,-1,0
Iñaki Williams,-113485,27247175,27360660,28938564,Delantero,1,https://www.futbolfantasy.com/jugadores/iñaki-williams,0%,-1,0
Abel Bretones,67701,3932235,3864534,3152348,Defensa,13,https://www.futbolfantasy.com/jugadores/abel-bretones,80%,-1,0
Oihan Sancet,-786904,46218434,47005338,52085174,Mediocampista,1,https://www.futbolfantasy.com/jugadores/oihan-sancet,70%,-1,0
Alex Berenguer,-92118,8838475,8930593,9432183,Delantero,1,https://www.futbolfantasy.com/jugadores/alex-berenguer,30%,-1,0
Yeray Alvarez,29303,4741183,4711880,4278560,Defensa,1,https://www.futbolfantasy.com/jugadores/yeray-alvarez,0%,-1,0
Aitor Paredes,79557,5221160,5141603,4499360,Defensa,1,https://www.futbolfantasy.com/jugadores/aitor-paredes,0%,-1,0
Dani Vivian,-296099,10216442,10512541,12575157,Defensa,1,https://www.futbolfantasy.com/jugadores/dani-vivian,30%,1,0
Unai Simon,-619025,53413260,54032285,58575310,Portero,1,https://www.futbolfantasy.com/jugadores/unai-simon,90%,-1,0
Adrian Rodriguez,-25215,995792,1021007,0,Portero,28,https://www.futbolfantasy.com/jugadores/adrian-rodriguez,0%,-1,0
Iñigo Ruiz De Galarreta,40598,12465541,12424943,11516924,Mediocampista,1,https://www.futbolfantasy.com/jugadores/iñigo-ruiz-de-galarreta,0%,-1,0
Jesus Owono,-20354,899321,919675,0,Portero,28,https://www.futbolfantasy.com/jugadores/jesus-owono,5%,-1,0
Carlos Benavidez,-78092,2620909,2699001,3011588,Mediocampista,28,https://www.futbolfantasy.com/jugadores/carlos-benavidez,10%,-1,0
Abde Rebbach,-38576,3650488,3689064,4155740,Delantero,28,https://www.futbolfantasy.com/jugadores/abde-rebbach,70%,-1,0
Jon Guridi,168450,5016985,4848535,5019315,Mediocampista,17,https://www.futbolfantasy.com/jugadores/jon-guridi,70%,2,0
Kike Garcia,-107720,3401331,3509051,4268188,Delantero,7,https://www.futbolfantasy.com/jugadores/kike-garcia,0%,0,0
Nahuel Tenaglia,548371,15020464,14472093,14402067,Defensa,28,https://www.futbolfantasy.com/jugadores/nahuel-tenaglia,90%,-1,0
Luis Rioja,-365962,11863091,12229053,14816383,Mediocampista,18,https://www.futbolfantasy.com/jugadores/luis-rioja,20%,1,0
Antonio Blanco,-67656,14903000,14970656,15170074,Mediocampista,28,https://www.futbolfantasy.com/jugadores/antonio-blanco,90%,-1,0
Ander Guevara,-28274,1083137,1111411,1239403,Mediocampista,28,https://www.futbolfantasy.com/jugadores/ander-guevara,10%,-1,0
Abdel Abqar,45773,7223016,7177243,6299441,Defensa,8,https://www.futbolfantasy.com/jugadores/abdel-abqar,70%,-1,0
Andoni Gorosabel,-44323,2232310,2276633,2591405,Defensa,1,https://www.futbolfantasy.com/jugadores/andoni-gorosabel,10%,-1,0
Julen Agirrezabala,147425,2950150,2802725,2911085,Portero,42,https://www.futbolfantasy.com/jugadores/julen-agirrezabala,70%,-1,0
Yuri Berchiche,-26286,12468294,12494580,12879729,Defensa,1,https://www.futbolfantasy.com/jugadores/yuri-berchiche,70%,-1,0
Borja Iglesias,-229345,26618099,26847444,28702800,Delantero,5,https://www.futbolfantasy.com/jugadores/borja-iglesias,10%,-1,0
Raphinha,1875797,86764161,84888364,71866589,Delantero,3,https://www.futbolfantasy.com/jugadores/raphinha,70%,-1,0
Abde Ezzalzouli,-757831,43637796,44395627,51290948,Delantero,4,https://www.futbolfantasy.com/jugadores/abde-ezzalzouli,30%,1,0
Guido Rodriguez,-320165,25241857,25562022,26805910,Mediocampista,18,https://www.futbolfantasy.com/jugadores/guido-rodriguez,90%,-1,0
Hector Bellerin,128711,14420171,14291460,12763553,Defensa,4,https://www.futbolfantasy.com/jugadores/hector-bellerin,50%,1,0
Fermin Lopez,1561460,66836254,65274794,58970728,Mediocampista,3,https://www.futbolfantasy.com/jugadores/fermin-lopez,70%,-1,0
Pau Cubarsi,-110250,77410894,77521144,83816547,Defensa,3,https://www.futbolfantasy.com/jugadores/pau-cubarsi,60%,-1,0
Marc Casado,-20776,1694862,1715638,1861459,Mediocampista,3,https://www.futbolfantasy.com/jugadores/marc-casado,0%,-1,0
Lamine Yamal,-93247,126029074,126122321,128802985,Delantero,3,https://www.futbolfantasy.com/jugadores/lamine-yamal,60%,-1,0
Jules Kounde,-391579,40563785,40955364,44743305,Defensa,3,https://www.futbolfantasy.com/jugadores/jules-kounde,50%,-1,0
Frenkie De Jong,-766501,25186713,25953214,31550526,Mediocampista,3,https://www.futbolfantasy.com/jugadores/frenkie-de-jong,0%,0,0
Marcos Alonso,-267536,28927438,29194974,30370576,Defensa,5,https://www.futbolfantasy.com/jugadores/marcos-alonso,90%,-1,0
Pedri Gonzalez,766835,89334451,88567616,90186557,Mediocampista,3,https://www.futbolfantasy.com/jugadores/pedri-gonzalez,50%,-1,0
Asier Villalibre,37284,7287260,7249976,7527946,Delantero,42,https://www.futbolfantasy.com/jugadores/asier-villalibre,70%,-1,0
Pablo Gavi,-581759,31529567,32111326,36657894,Mediocampista,3,https://www.futbolfantasy.com/jugadores/pablo-gavi,50%,-1,0
Alejandro Balde,255828,23539818,23283990,23303638,Defensa,3,https://www.futbolfantasy.com/jugadores/alejandro-balde,0%,-1,0
Rodrigo Riquelme,71231,4161102,4089871,3456991,Mediocampista,4,https://www.futbolfantasy.com/jugadores/rodrigo-riquelme,0%,-1,0
Pablo Barrios,114159,41861765,41747606,43984044,Mediocampista,2,https://www.futbolfantasy.com/jugadores/pablo-barrios,70%,-1,0
Javi Galan,-300285,12073859,12374144,14475829,Defensa,5,https://www.futbolfantasy.com/jugadores/javi-galan,0%,1,0
Marcos Llorente,-327102,50085580,50412682,54158509,Defensa,2,https://www.futbolfantasy.com/jugadores/marcos-llorente,50%,-1,0
Jan Oblak,-406208,51924064,52330272,54982571,Portero,2,https://www.futbolfantasy.com/jugadores/jan-oblak,90%,-1,0
Koke Resurreccion,-231587,15999632,16231219,17767671,Mediocampista,2,https://www.futbolfantasy.com/jugadores/koke-resurreccion,50%,-1,0
Jose Maria Gimenez,-83531,4510374,4593905,5185808,Defensa,2,https://www.futbolfantasy.com/jugadores/jose-maria-gimenez,10%,-1,0
Unai Egiluz,-933,413019,413952,436343,Defensa,1,https://www.futbolfantasy.com/jugadores/unai-egiluz,0%,0,0
Beñat Prados,-27217,1398406,1425623,1584589,Mediocampista,1,https://www.futbolfantasy.com/jugadores/beñat-prados,0%,-1,0
Unai Lopez,18350,5928954,5910604,5774118,Mediocampista,14,https://www.futbolfantasy.com/jugadores/unai-lopez,70%,-1,0
Iñigo Perez,-64217,2238495,2302712,2700442,Entrenador,22,https://www.futbolfantasy.com/jugadores/iñigo-perez,0%,-1,0
Jorge De Frutos,-834594,45044794,45879388,49523730,Delantero,14,https://www.futbolfantasy.com/jugadores/jorge-de-frutos,90%,-1,0
Johnny Cardoso,-95414,5633065,5728479,6489575,Mediocampista,2,https://www.futbolfantasy.com/jugadores/johnny-cardoso,30%,-1,0
Javi Puado,-182339,6096665,6279004,7559887,Mediocampista,7,https://www.futbolfantasy.com/jugadores/javi-puado,0%,0,0
Leandro Cabrera,8613,17014779,17006166,16469236,Defensa,7,https://www.futbolfantasy.com/jugadores/leandro-cabrera,0%,-1,1
Fernando Calero,-84054,2774785,2858839,3395125,Defensa,11,https://www.futbolfantasy.com/jugadores/fernando-calero,0%,0,0
Joan Garcia,746037,69435706,68689669,60176948,Portero,3,https://www.futbolfantasy.com/jugadores/joan-garcia,80%,-1,0
Juanmi Jimenez,-7309,566033,573342,639969,Delantero,8,https://www.futbolfantasy.com/jugadores/juanmi-jimenez,0%,0,0
Pablo Fornals,-209628,57416212,57625840,60822156,Mediocampista,4,https://www.futbolfantasy.com/jugadores/pablo-fornals,80%,-1,0
Hector Fort,-71458,3269253,3340711,3800461,Defensa,3,https://www.futbolfantasy.com/jugadores/hector-fort,0%,-1,0
Gonçalo Guedes,-931586,32204001,33135587,39859942,Delantero,16,https://www.futbolfantasy.com/jugadores/gonçalo-guedes,0%,-1,0
Lucien Agoume,-32506,5807375,5839881,5699814,Mediocampista,17,https://www.futbolfantasy.com/jugadores/lucien-agoume,80%,-1,0
Ilaix Moriba,-136730,9949724,10086454,10534572,Mediocampista,5,https://www.futbolfantasy.com/jugadores/ilaix-moriba,50%,-1,0
Isaac Romero,-65599,6443426,6509025,6154640,Delantero,17,https://www.futbolfantasy.com/jugadores/isaac-romero,50%,-1,0
Pere Milla,-94901,9471422,9566323,9824126,Delantero,7,https://www.futbolfantasy.com/jugadores/pere-milla,30%,-1,0
Augusto Batalla,-457060,39610693,40067753,42002049,Portero,14,https://www.futbolfantasy.com/jugadores/augusto-batalla,95%,-1,0
Giuliano Simeone,-362307,43209202,43571509,46684520,Delantero,2,https://www.futbolfantasy.com/jugadores/giuliano-simeone,70%,-1,0
Alvaro F. Carreras,-223162,12018689,12241851,13999960,Defensa,15,https://www.futbolfantasy.com/jugadores/alvaro-f.-carreras,0%,-1,0
Kike Salas,-244481,12010968,12255449,11618725,Defensa,17,https://www.futbolfantasy.com/jugadores/kike-salas,0%,-1,1
Raul Garcia,-37916,1807758,1845674,2053345,Delantero,13,https://www.futbolfantasy.com/jugadores/raul-garcia,0%,-1,0
Adria Altimira,-58546,4418911,4477457,5061732,Defensa,6,https://www.futbolfantasy.com/jugadores/adria-altimira,30%,-1,0
Ilias Akhomach,-94643,5027522,5122165,5776857,Delantero,22,https://www.futbolfantasy.com/jugadores/ilias-akhomach,20%,-1,0
Ivan Balliu,1198,969984,968786,830974,Defensa,14,https://www.futbolfantasy.com/jugadores/ivan-balliu,70%,-1,0
Ramon Terrats,53654,3056256,3002602,2810495,Mediocampista,8,https://www.futbolfantasy.com/jugadores/ramon-terrats,0%,-1,0
Kiko Femenia,-98428,3866942,3965370,3580592,Defensa,8,https://www.futbolfantasy.com/jugadores/kiko-femenia,0%,-1,1
Pol Lozano,-41928,2232294,2274222,2455726,Mediocampista,7,https://www.futbolfantasy.com/jugadores/pol-lozano,30%,-1,0
Jofre Carreras,-22601,1086623,1109224,1216902,Delantero,7,https://www.futbolfantasy.com/jugadores/jofre-carreras,30%,-1,0
Alexander Sorloth,-637325,22022394,22659719,25826629,Delantero,2,https://www.futbolfantasy.com/jugadores/alexander-sorloth,20%,1,0
Peque,41432,1837850,1796418,1951786,Delantero,17,https://www.futbolfantasy.com/jugadores/peque,0%,-1,0
Daniel Raba,-32671,1551375,1584046,1807384,Delantero,18,https://www.futbolfantasy.com/jugadores/daniel-raba,10%,-1,0
Nico Serrano,-19609,861236,880845,1025106,Delantero,1,https://www.futbolfantasy.com/jugadores/nico-serrano,10%,-1,0
Santiago Mouriño,-669164,39550084,40219248,39269000,Defensa,22,https://www.futbolfantasy.com/jugadores/santiago-mouriño,0%,-1,0
Valentin Rosier,-158755,5392032,5550787,6659198,Defensa,13,https://www.futbolfantasy.com/jugadores/valentin-rosier,40%,1,0
Alvaro Djalo,-26058,1016009,1042067,1208040,Delantero,1,https://www.futbolfantasy.com/jugadores/alvaro-djalo,0%,-1,0
Carlos Romero,308981,44304027,43995046,39446422,Defensa,22,https://www.futbolfantasy.com/jugadores/carlos-romero,70%,-1,0
Kylian Mbappe,-311396,128452513,128763909,131039235,Delantero,15,https://www.futbolfantasy.com/jugadores/kylian-mbappe,70%,-1,0
Endrick,-43437,6652802,6696239,7133030,Delantero,15,https://www.futbolfantasy.com/jugadores/endrick,10%,2,0
Sergio Carreira,-36827,6706082,6742909,6755592,Defensa,5,https://www.futbolfantasy.com/jugadores/sergio-carreira,70%,-1,0
Sergio Gomez,-14425,17882390,17896815,18165640,Defensa,16,https://www.futbolfantasy.com/jugadores/sergio-gomez,80%,-1,0
Chidera Ejuke,-43886,2662216,2706102,2879858,Delantero,17,https://www.futbolfantasy.com/jugadores/chidera-ejuke,10%,-1,0
Edu Exposito,330247,29752780,29422533,26993981,Mediocampista,7,https://www.futbolfantasy.com/jugadores/edu-exposito,90%,2,0
Willy Kambwala,-23739,1115094,1138833,1269991,Defensa,22,https://www.futbolfantasy.com/jugadores/willy-kambwala,10%,-1,0
Andres Martin,-42022,18963828,19005850,19854978,Delantero,42,https://www.futbolfantasy.com/jugadores/andres-martin,90%,-1,0
Arnaut Danjuma,16063,5216517,5200454,4878057,Delantero,18,https://www.futbolfantasy.com/jugadores/arnaut-danjuma,30%,-1,0
Boyomo,102370,28269599,28167229,26222424,Defensa,13,https://www.futbolfantasy.com/jugadores/boyomo,70%,-1,0
Nicolas Pepe,848132,51534950,50686818,49454876,Delantero,22,https://www.futbolfantasy.com/jugadores/nicolas-pepe,70%,-1,0
Pape Gueye,303189,49427411,49124222,46253042,Mediocampista,22,https://www.futbolfantasy.com/jugadores/pape-gueye,80%,-1,0
Diego Javier Llorente,15989,13267296,13251307,12471912,Defensa,4,https://www.futbolfantasy.com/jugadores/diego-javier-llorente,0%,-1,0
Yvan Neyou,-86456,2947800,3034256,0,Mediocampista,8,https://www.futbolfantasy.com/jugadores/yvan-neyou,0%,-1,0
Angel Fortuño,-5930,532944,538874,595068,Portero,7,https://www.futbolfantasy.com/jugadores/angel-fortuño,0%,-1,0
Ruben Sanchez,-2692,455244,457936,492532,Mediocampista,7,https://www.futbolfantasy.com/jugadores/ruben-sanchez,0%,-1,0
Omar El Hilali,102205,9072659,8970454,8312687,Defensa,7,https://www.futbolfantasy.com/jugadores/omar-el-hilali,80%,-1,0
Alex Baena,-645815,52452774,53098589,58401904,Mediocampista,2,https://www.futbolfantasy.com/jugadores/alex-baena,0%,-1,0
Denis Suarez,-34495,2458310,2492805,2690689,Mediocampista,28,https://www.futbolfantasy.com/jugadores/denis-suarez,50%,-1,0
Juan Foyth,330046,12566498,12236452,10785264,Defensa,22,https://www.futbolfantasy.com/jugadores/juan-foyth,70%,-1,0
Aurelien Tchouameni,-442656,41102067,41544723,44980249,Mediocampista,15,https://www.futbolfantasy.com/jugadores/aurelien-tchouameni,50%,2,0
Pablo Marin,-46462,1505723,1552185,1857267,Mediocampista,16,https://www.futbolfantasy.com/jugadores/pablo-marin,30%,-1,0
Ander Barrenetxea,-208541,32654080,32862621,34509936,Mediocampista,16,https://www.futbolfantasy.com/jugadores/ander-barrenetxea,70%,-1,0
Gerard Moreno,-126965,27816064,27943029,28914641,Delantero,22,https://www.futbolfantasy.com/jugadores/gerard-moreno,50%,-1,0
Aihen Muñoz,-34272,1353006,1387278,1580621,Defensa,16,https://www.futbolfantasy.com/jugadores/aihen-muñoz,0%,-1,0
Alvaro Odriozola,-7984,582239,590223,653638,Defensa,16,https://www.futbolfantasy.com/jugadores/alvaro-odriozola,0%,0,0
Alex Remiro,-397200,42643086,43040286,45432160,Portero,16,https://www.futbolfantasy.com/jugadores/alex-remiro,90%,-1,0
Arda Guler,986440,53638435,52651995,50924378,Mediocampista,15,https://www.futbolfantasy.com/jugadores/arda-guler,0%,-1,0
Ferland Mendy,-13640,717986,731626,830455,Defensa,15,https://www.futbolfantasy.com/jugadores/ferland-mendy,0%,0,0
Antonio Rudiger,322515,28295496,27972981,28089694,Defensa,15,https://www.futbolfantasy.com/jugadores/antonio-rudiger,50%,-1,0
Brahim Diaz,63564,10733033,10669469,11276359,Mediocampista,15,https://www.futbolfantasy.com/jugadores/brahim-diaz,50%,-1,0
Federico Valverde,597387,69629046,69031659,71247876,Mediocampista,15,https://www.futbolfantasy.com/jugadores/federico-valverde,90%,-1,0
Arsen Zakharyan,-25148,994178,1019326,1166874,Mediocampista,16,https://www.futbolfantasy.com/jugadores/arsen-zakharyan,20%,-1,0
Andriy Lunin,-31683,2112479,2144162,2303683,Portero,15,https://www.futbolfantasy.com/jugadores/andriy-lunin,30%,-1,0
Eduardo Camavinga,-160046,10039792,10199838,11368291,Mediocampista,15,https://www.futbolfantasy.com/jugadores/eduardo-camavinga,30%,-1,0
Rodrygo Goes,-58458,2914343,2972801,3404283,Delantero,15,https://www.futbolfantasy.com/jugadores/rodrygo-goes,0%,0,0
Vinicius Junior,258899,107842214,107583315,101749180,Delantero,15,https://www.futbolfantasy.com/jugadores/vinicius-junior,90%,-1,0
Jude Bellingham,784544,89688837,88904293,91183348,Mediocampista,15,https://www.futbolfantasy.com/jugadores/jude-bellingham,50%,-1,0
Eder Militao,-306939,11421544,11728483,13948770,Defensa,15,https://www.futbolfantasy.com/jugadores/eder-militao,0%,-1,0
Thibaut Courtois,958388,61783656,60825268,56479265,Portero,15,https://www.futbolfantasy.com/jugadores/thibaut-courtois,70%,-1,0
Sergio Camello,-24446,3085546,3109992,3124115,Delantero,14,https://www.futbolfantasy.com/jugadores/sergio-camello,50%,-1,0
Florian Lejeune,-249330,38066484,38315814,38626640,Defensa,14,https://www.futbolfantasy.com/jugadores/florian-lejeune,90%,-1,0
Oscar Valentin,58180,3713156,3654976,3442547,Mediocampista,14,https://www.futbolfantasy.com/jugadores/oscar-valentin,0%,-1,0
Pathe Ciss,247558,12281218,12033660,11378588,Mediocampista,14,https://www.futbolfantasy.com/jugadores/pathe-ciss,70%,-1,0
Mikel Oyarzabal,18243,62923561,62905318,65891432,Delantero,16,https://www.futbolfantasy.com/jugadores/mikel-oyarzabal,50%,-1,0
Igor Zubeldia,126247,10173495,10047248,9750189,Defensa,16,https://www.futbolfantasy.com/jugadores/igor-zubeldia,60%,-1,0
Takefusa Kubo,521595,24557213,24035618,22080902,Mediocampista,16,https://www.futbolfantasy.com/jugadores/takefusa-kubo,50%,-1,0
Diego Lopez,-62023,2013050,2075073,2502296,Delantero,18,https://www.futbolfantasy.com/jugadores/diego-lopez,0%,-1,0
Sergi Canos,-4197,491360,495557,540596,Delantero,18,https://www.futbolfantasy.com/jugadores/sergi-canos,0%,0,0
Javi Guerra,156961,24340395,24183434,24014228,Mediocampista,18,https://www.futbolfantasy.com/jugadores/javi-guerra,0%,-1,0
Hugo Duro,10021,8490137,8480116,8667876,Delantero,18,https://www.futbolfantasy.com/jugadores/hugo-duro,60%,-1,0
Andre Almeida,-51269,2399923,2451192,2748967,Mediocampista,18,https://www.futbolfantasy.com/jugadores/andre-almeida,0%,-1,0
Cristian Rivero,-3979,486115,490094,531211,Portero,18,https://www.futbolfantasy.com/jugadores/cristian-rivero,10%,-1,0
Jose Gaya,-123412,10795733,10919145,11421020,Defensa,18,https://www.futbolfantasy.com/jugadores/jose-gaya,0%,-1,0
Pepelu,66876,7645251,7578375,7532896,Mediocampista,18,https://www.futbolfantasy.com/jugadores/pepelu,0%,-1,0
Marcao,-9537,619518,629055,702950,Defensa,17,https://www.futbolfantasy.com/jugadores/marcao,0%,-1,0
Dimitri Foulquier,-62699,2200315,2263014,2675217,Defensa,18,https://www.futbolfantasy.com/jugadores/dimitri-foulquier,50%,1,0
Jesus Vazquez,-9863,1705126,1714989,1752417,Defensa,18,https://www.futbolfantasy.com/jugadores/jesus-vazquez,0%,-1,0
