jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,posicion,team_id,href,prob,lesion,sancion
Javi Rueda,38186,4333760,4295574,3758426,Defensa,5,https://www.futbolfantasy.com/jugadores/javi-rueda,60%,-1,0
Ionut Radu,-449309,38485562,38934871,39944017,Portero,5,https://www.futbolfantasy.com/jugadores/ionut-radu,0%,-1,0
Carlos Espi,166736,9036307,8869571,8335214,Delantero,15,https://www.futbolfantasy.com/jugadores/carlos-espi,0%,-1,0
Jeremy Toljan,-80208,4120478,4200686,4540422,Defensa,10,https://www.futbolfantasy.com/jugadores/jeremy-toljan,50%,-1,0
Marc Aguado,-27367,3498015,3525382,3509271,Mediocampista,21,https://www.futbolfantasy.com/jugadores/marc-aguado,70%,-1,0
Alvaro Nuñez,-61492,3568589,3630081,3934831,Defensa,5,https://www.futbolfantasy.com/jugadores/alvaro-nuñez,0%,-1,0
Martin Satriano,-597054,30474209,31071263,0,Delantero,8,https://www.futbolfantasy.com/jugadores/martin-satriano,80%,-1,0
Gerard Martin,560011,36332684,35772673,31374966,Defensa,3,https://www.futbolfantasy.com/jugadores/gerard-martin,80%,-1,0
Logan Costa,-25018,1227525,1252543,1379164,Defensa,22,https://www.futbolfantasy.com/jugadores/logan-costa,20%,-1,0
Luiz Junior,-394679,37638595,38033274,40870232,Portero,22,https://www.futbolfantasy.com/jugadores/luiz-junior,60%,-1,0
Jon Aramburu,216345,17679313,17462968,16261821,Defensa,16,https://www.futbolfantasy.com/jugadores/jon-aramburu,80%,-1,0
Juan Berrocal,-47327,1563574,1610901,0,Defensa,8,https://www.futbolfantasy.com/jugadores/juan-berrocal,0%,-1,0
Marash Kumbulla,-155252,5428462,5583714,0,Defensa,14,https://www.futbolfantasy.com/jugadores/marash-kumbulla,20%,1,0
Hugo Alvarez,-50755,2928041,2978796,3199407,Mediocampista,5,https://www.futbolfantasy.com/jugadores/hugo-alvarez,0%,-1,0
Javi Rodriguez,-73153,9069580,9142733,10037652,Defensa,5,https://www.futbolfantasy.com/jugadores/javi-rodriguez,80%,-1,0
Pablo Duran,-22819,996976,1019795,1200457,Delantero,5,https://www.futbolfantasy.com/jugadores/pablo-duran,10%,1,0
Natan,-588110,39241756,39829866,43549902,Defensa,4,https://www.futbolfantasy.com/jugadores/natan,80%,-1,0
Marc Bernal,266653,7413816,7147163,5585287,Mediocampista,3,https://www.futbolfantasy.com/jugadores/marc-bernal,60%,-1,0
Toni Martinez,208181,25258309,25050128,25475664,Delantero,28,https://www.futbolfantasy.com/jugadores/toni-martinez,0%,-1,0
Alfonso Gonzalez,-184762,5791303,5976065,7026761,Delantero,17,https://www.futbolfantasy.com/jugadores/alfonso-gonzalez,0%,1,0
Juan Musso,-86417,4336379,4422796,4988659,Portero,2,https://www.futbolfantasy.com/jugadores/juan-musso,10%,-1,0
Dani Olmo,-344480,62032134,62376614,66836129,Mediocampista,3,https://www.futbolfantasy.com/jugadores/dani-olmo,40%,-1,0
Mario Martin,36122,3942088,3905966,4015472,Mediocampista,8,https://www.futbolfantasy.com/jugadores/mario-martin,70%,-1,0
Leo Roman,373108,37202789,36829681,33401797,Portero,6,https://www.futbolfantasy.com/jugadores/leo-roman,0%,-1,0
Adama Boiro,-3971,485930,489901,530091,Defensa,1,https://www.futbolfantasy.com/jugadores/adama-boiro,30%,-1,0
Mikel Jauregizar,61232,28381768,28320536,27111278,Mediocampista,1,https://www.futbolfantasy.com/jugadores/mikel-jauregizar,0%,-1,0
Julian Alvarez,345726,70892654,70546928,69450658,Delantero,2,https://www.futbolfantasy.com/jugadores/julian-alvarez,0%,-1,0
Christantus Uche,-646175,19759660,20405835,24922611,Delantero,8,https://www.futbolfantasy.com/jugadores/christantus-uche,0%,-1,0
Jiri Letacek,-12221,683934,696155,785421,Portero,8,https://www.futbolfantasy.com/jugadores/jiri-letacek,5%,-1,0
Hugo Novoa,-21241,900401,921642,0,Defensa,28,https://www.futbolfantasy.com/jugadores/hugo-novoa,10%,-1,0
Moussa Diarra,-29190,1091180,1120370,0,Defensa,28,https://www.futbolfantasy.com/jugadores/moussa-diarra,0%,1,0
Giovani Lo Celso,-939377,35809514,36748891,41707837,Mediocampista,4,https://www.futbolfantasy.com/jugadores/giovani-lo-celso,20%,2,0
Pelayo Fernandez,-24630,996377,1021007,0,Defensa,14,https://www.futbolfantasy.com/jugadores/pelayo-fernandez,20%,-1,0
David Affengruber,-484945,32267932,32752877,32998757,Defensa,21,https://www.futbolfantasy.com/jugadores/david-affengruber,90%,-1,0
Cucho Hernandez,-296281,44120009,44416290,47374020,Delantero,4,https://www.futbolfantasy.com/jugadores/cucho-hernandez,60%,-1,0
Aleix Febas,114822,24493275,24378453,23101820,Mediocampista,5,https://www.futbolfantasy.com/jugadores/aleix-febas,50%,-1,0
John Chetauya,-11477,666083,677560,766842,Defensa,21,https://www.futbolfantasy.com/jugadores/john-chetauya,0%,-1,0
Bambo Diaby,-23806,1043497,1067303,1199869,Defensa,21,https://www.futbolfantasy.com/jugadores/bambo-diaby,0%,-1,0
Youssef Enriquez,-4324,495702,500026,499589,Defensa,28,https://www.futbolfantasy.com/jugadores/youssef-enriquez,30%,-1,0
Alassane Diatta,-6465,545793,552258,581656,Mediocampista,22,https://www.futbolfantasy.com/jugadores/alassane-diatta,0%,-1,1
Andres Castrin,-98635,4270691,4369326,4823016,Defensa,17,https://www.futbolfantasy.com/jugadores/andres-castrin,0%,-1,0
