jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha,diferencia_valor_fmt,valor_actual_fmt,valor_anterior_fmt,puja_maxima_rentable_fmt
Antoniu Roca,467,315715,315248,312235,,2025-09-03,467,315.715,315.248,312.235
Mikel Goti,408,317175,316767,314176,,2025-09-03,408,317.175,316.767,314.176
Miguel Roman,303,319668,319365,317496,,2025-09-03,303,319.668,319.365,317.496
Ruben Gomez,303,319668,319365,317496,,2025-09-03,303,319.668,319.365,317.496
Jean Ives Valou,303,319668,319365,317496,,2025-09-03,303,319.668,319.365,317.496
Rafael Romero,303,319668,319365,317496,,2025-09-03,303,319.668,319.365,317.496
Lander Pinillos,303,319668,319365,317496,,2025-09-03,303,319.668,319.365,317.496
Salvi Esquivel,303,319668,319365,317496,,2025-09-03,303,319.668,319.365,317.496
Cayetano Romero,303,319668,319365,317496,,2025-09-03,303,319.668,319.365,317.496
Jofre Torrents,244,321074,320830,319369,,2025-09-03,244,321.074,320.830,319.369
Juanpe Gil,113,324231,324118,323568,,2025-09-03,113,324.231,324.118,323.568
Adrian Molina,36,326075,326039,326022,,2025-09-03,36,326.075,326.039,326.022
Jano Monserrate,36,326075,326039,326022,,2025-09-03,36,326.075,326.039,326.022
Pablo Lopez,0,436823,436823,467552,,2025-09-03,0,436.823,436.823,467.552
Yeray Alvarez,0,4053162,0,0,,2025-09-03,0,4.053.162,0,0
Abdel Abqar,0,1725322,0,0,,2025-09-03,0,1.725.322,0,0
Oriol Romeu,0,1625242,0,0,,2025-09-03,0,1.625.242,0,0
Coke Carrillo,0,1567556,0,0,,2025-09-03,0,1.567.556,0,0
Gorka Rivera,0,1718986,0,0,,2025-09-03,0,1.718.986,0,0
 Diego Mendez,0,1717735,0,0,,2025-09-03,0,1.717.735,0,0
Aitor Fraga,0,1565248,0,0,,2025-09-03,0,1.565.248,0,0
Joan Jordan,0,1746435,0,0,,2025-09-03,0,1.746.435,0,0
Kiko Femenia,0,1742194,0,0,,2025-09-03,0,1.742.194,0,0
Ricard Artero,0,1551762,0,0,,2025-09-03,0,1.551.762,0,0
