jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha,diferencia_valor_fmt,valor_actual_fmt,valor_anterior_fmt,puja_maxima_rentable_fmt
Largie Ramazani,7745104,8537710,0,0,,2025-09-02,7.745.104,8.537.710,0,0
Cesar Azpilicueta,7283333,8964596,0,0,,2025-09-02,7.283.333,8.964.596,0,0
Gerard Martin,4550242,6403282,0,0,,2025-09-02,4.550.242,6.403.282,0,0
Lucas Boye,2291603,3093478,0,0,,2025-09-02,2.291.603,3.093.478,0,0
Vinicius Junior,2195028,108002152,105807124,100317800,,2025-09-02,2.195.028,108.002.152,105.807.124,100.317.800
Nicolas Pepe,2017642,31294666,29277024,20651320,Swedish,2025-09-02,2.017.642,31.294.666,29.277.024,20.651.320
Joan Garcia,1790325,58016527,56226202,50922109,Adri,2025-09-02,1.790.325,58.016.527,56.226.202,50.922.109
Franco Mastantuono,1627317,25642792,24015475,15868051,,2025-09-02,1.627.317,25.642.792,24.015.475,15.868.051
Etta Eyong,1524806,16670629,15145823,10334609,Carre,2025-09-02,1.524.806,16.670.629,15.145.823,10.334.609
Arda Guler,1382642,83714158,82331516,78708272,,2025-09-02,1.382.642,83.714.158,82.331.516,78.708.272
Dean Huijsen,1333523,96401972,95068449,89030993,Carre,2025-09-02,1.333.523,96.401.972,95.068.449,89.030.993
Isi Palazon,1257994,30575856,29317862,27583604,Adri,2025-09-02,1.257.994,30.575.856,29.317.862,27.583.604
Tajon Buchanan,1119721,12236124,11116403,5634795,,2025-09-02,1.119.721,12.236.124,11.116.403,5.634.795
Alvaro F. Carreras,1059497,56779696,55720199,47844411,Carre,2025-09-02,1.059.497,56.779.696,55.720.199,47.844.411
Ferran Torres,1031486,37105978,36074492,28761632,,2025-09-02,1.031.486,37.105.978,36.074.492,28.761.632
Pape Gueye,904748,16449929,15545181,10626280,,2025-09-02,904.748,16.449.929,15.545.181,10.626.280
Giuliano Simeone,895594,33735513,32839919,31603383,Carre,2025-09-02,895.594,33.735.513,32.839.919,31.603.383
Oihan Sancet,868604,45753346,44884742,39628469,,2025-09-02,868.604,45.753.346,44.884.742,39.628.469
Rafa Marin,860335,18120778,17260443,12657394,Carre,2025-09-02,860.335,18.120.778,17.260.443,12.657.394
Santiago Mouriño,826274,15901183,15074909,9182541,Enric,2025-09-02,826.274,15.901.183,15.074.909,9.182.541
Marc Bartra,796842,28424350,27627508,21801776,,2025-09-02,796.842,28.424.350,27.627.508,21.801.776
Aitor Paredes,693297,11349794,10656497,9020094,Adri,2025-09-02,693.297,11.349.794,10.656.497,9.020.094
Thiago Almada,676003,28050705,27374702,23488909,Adri,2025-09-02,676.003,28.050.705,27.374.702,23.488.909
Lamine Yamal,659840,143080857,142421017,141908315,,2025-09-02,659.840,143.080.857,142.421.017,141.908.315
