jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha,diferencia_valor_fmt,valor_actual_fmt,valor_anterior_fmt,puja_maxima_rentable_fmt
Valentin Rosier,651726,9872575,9220849,6784830,Enric,2025-09-02,651.726,9.872.575,9.220.849,6.784.830
Luis Milla,641412,18956233,18314821,14166612,Carre,2025-09-02,641.412,18.956.233,18.314.821,14.166.612
Luiz Junior,587190,15369240,14782050,10715002,Carre,2025-09-02,587.190,15.369.240,14.782.050,10.715.002
Ander Barrenetxea,532897,8044149,7511252,5145921,,2025-09-02,532.897,8.044.149,7.511.252,5.145.921
Aurelien Tchouameni,520869,53370236,52849367,46847198,,2025-09-02,520.869,53.370.236,52.849.367,46.847.198
Junior Firpo,520410,11539454,11019044,9669631,Carre,2025-09-02,520.410,11.539.454,11.019.044,9.669.631
Nahuel Tenaglia,508099,9782751,9274652,7182580,,2025-09-02,508.099,9.782.751,9.274.652,7.182.580
Federico Valverde,485882,90351866,89865984,90104771,,2025-09-02,485.882,90.351.866,89.865.984,90.104.771
Aaron Escandell,481928,6455173,5973245,4261580,Swedish,2025-09-02,481.928,6.455.173,5.973.245,4.261.580
Rodrigo Riquelme,478239,25425003,24946764,22027527,,2025-09-02,478.239,25.425.003,24.946.764,22.027.527
Sergi Cardona,470319,23442130,22971811,18284553,Enric,2025-09-02,470.319,23.442.130,22.971.811,18.284.553
Sergi Altimira,469356,8493038,8023682,5473335,Swedish,2025-09-02,469.356,8.493.038,8.023.682,5.473.335
Juan Foyth,464890,24194129,23729239,22680769,Adri,2025-09-02,464.890,24.194.129,23.729.239,22.680.769
Rafa Mir,457947,5460297,5002350,3530765,Adri,2025-09-02,457.947,5.460.297,5.002.350,3.530.765
Alex Berenguer,455103,22272398,21817295,20896178,,2025-09-02,455.103,22.272.398,21.817.295,20.896.178
Adrian Liso,449797,6380853,5931056,3321563,Swedish,2025-09-02,449.797,6.380.853,5.931.056,3.321.563
David Affengruber,437724,5599591,5161867,3318578,Swedish,2025-09-02,437.724,5.599.591,5.161.867,3.318.578
Ruben Vargas,417677,7672558,7254881,7510633,,2025-09-02,417.677,7.672.558,7.254.881,7.510.633
Javi Guerra,417301,20146239,19728938,19385732,,2025-09-02,417.301,20.146.239,19.728.938,19.385.732
Alejandro Catena,407335,14680617,14273282,11890226,,2025-09-02,407.335,14.680.617,14.273.282,11.890.226
Carles Aleña,390669,7470343,7079674,5402346,Swedish,2025-09-02,390.669,7.470.343,7.079.674,5.402.346
German Valera,386279,4305242,3918963,2255005,,2025-09-02,386.279,4.305.242,3.918.963,2.255.005
Luis Rioja,385329,14895214,14509885,14534820,,2025-09-02,385.329,14.895.214,14.509.885,14.534.820
Pere Milla,382418,5142905,4760487,2903119,,2025-09-02,382.418,5.142.905,4.760.487,2.903.119
Boyomo,374990,13941664,13566674,11425238,,2025-09-02,374.990,13.941.664,13.566.674,11.425.238
Hugo Duro,370189,14282311,13912122,14546879,,2025-09-02,370.189,14.282.311,13.912.122,14.546.879
Cesar Tarrega,362563,11590553,11227990,10640764,Enric,2025-09-02,362.563,11.590.553,11.227.990,10.640.764
Alvaro Rodriguez,333599,4081252,3747653,2591832,,2025-09-02,333.599,4.081.252,3.747.653,2.591.832
Carlos Vicente,327288,16071294,15744006,16086604,Carre,2025-09-02,327.288,16.071.294,15.744.006,16.086.604
Edu Exposito,320333,7594362,7274029,5955838,Enric,2025-09-02,320.333,7.594.362,7.274.029,5.955.838
Jorge De Frutos,315592,19499162,19183570,16225112,Swedish,2025-09-02,315.592,19.499.162,19.183.570,16.225.112
Carlos Romero,308747,4740494,4431747,4585719,,2025-09-02,308.747,4.740.494,4.431.747,4.585.719
Eric Garcia,304966,16314285,16009319,14256620,,2025-09-02,304.966,16.314.285,16.009.319,14.256.620
Kylian Mbappe,292021,143769180,143477159,140343730,Swedish,2025-09-02,292.021,143.769.180,143.477.159,140.343.730
Julen Agirrezabala,282363,12009238,11726875,10012961,,2025-09-02,282.363,12.009.238,11.726.875,10.012.961
Jesus Areso,272852,9452312,9179460,7931971,,2025-09-02,272.852,9.452.312,9.179.460,7.931.971
Javi Rueda,271198,1936434,1665236,999744,,2025-09-02,271.198,1.936.434,1.665.236,999.744
Arnaut Danjuma,265993,7397338,7131345,6499333,,2025-09-02,265.993,7.397.338,7.131.345,6.499.333
Hector Bellerin,264471,8035286,7770815,5298895,,2025-09-02,264.471,8.035.286,7.770.815,5.298.895
Giovani Lo Celso,261078,74928545,74667467,67027295,,2025-09-02,261.078,74.928.545,74.667.467,67.027.295
Pablo Fornals,260692,19365040,19104348,16900314,,2025-09-02,260.692,19.365.040,19.104.348,16.900.314
Pedro Bigas,257516,3803399,3545883,2667976,,2025-09-02,257.516,3.803.399,3.545.883,2.667.976
Yuri Berchiche,256338,10678285,10421947,9231356,Carre,2025-09-02,256.338,10.678.285,10.421.947,9.231.356
Matias Dituro,251210,4351759,4100549,2953944,,2025-09-02,251.210,4.351.759,4.100.549,2.953.944
Lucien Agoume,247833,5333936,5086103,4094424,,2025-09-02,247.833,5.333.936,5.086.103,4.094.424
Hugo Sotelo,240269,2405927,2165658,1187431,,2025-09-02,240.269,2.405.927,2.165.658,1.187.431
Alfonso Gonzalez,237756,6472603,6234847,0,Enric,2025-09-02,237.756,6.472.603,6.234.847,0
Pathe Ciss,217629,4494083,4276454,3513325,,2025-09-02,217.629,4.494.083,4.276.454,3.513.325
Nico Williams,212595,108027855,107815260,103073863,,2025-09-02,212.595,108.027.855,107.815.260,103.073.863
Kike Salas,210303,5028868,4818565,4604640,Swedish,2025-09-02,210.303,5.028.868,4.818.565,4.604.640
Dimitri Foulquier,207581,7400092,7192511,6752392,,2025-09-02,207.581,7.400.092,7.192.511,6.752.392
Mikel Jauregizar,197974,10524758,10326784,9432404,,2025-09-02,197.974,10.524.758,10.326.784,9.432.404
Natan,184828,19685655,19500827,16847897,,2025-09-02,184.828,19.685.655,19.500.827,16.847.897
Mouctar Diakhaby,184626,3435023,3250397,3167369,,2025-09-02,184.626,3.435.023,3.250.397,3.167.369
Leander Dendoncker,179801,4294455,4114654,4442910,,2025-09-02,179.801,4.294.455,4.114.654,4.442.910
Alvaro Garcia,168203,17833839,17665636,16893640,,2025-09-02,168.203,17.833.839,17.665.636,16.893.640
Daniel Carvajal,166610,26196886,26030276,22261692,,2025-09-02,166.610,26.196.886,26.030.276,22.261.692
Pablo Torre,159158,8506561,8347403,8830868,,2025-09-02,159.158,8.506.561,8.347.403,8.830.868
Leandro Cabrera,156629,6045682,5889053,5983280,,2025-09-02,156.629,6.045.682,5.889.053,5.983.280
Isaac Romero,154168,4848117,4693949,5086893,,2025-09-02,154.168,4.848.117,4.693.949,5.086.893
Alvaro Nuñez,149218,1809930,1660712,982697,Swedish,2025-09-02,149.218,1.809.930,1.660.712,982.697
Diego Lopez,144838,17813786,17668948,15970389,,2025-09-02,144.838,17.813.786,17.668.948,15.970.389
Mikel Oyarzabal,136207,37657461,37521254,35162074,,2025-09-02,136.207,37.657.461,37.521.254,35.162.074
Ionut Radu,128261,3603994,3475733,3353441,,2025-09-02,128.261,3.603.994,3.475.733,3.353.441
Marko Dmitrovic,126286,7666500,7540214,7446373,Swedish,2025-09-02,126.286,7.666.500,7.540.214,7.446.373
Rodrigo Mendoza,123427,2082701,1959274,1846699,,2025-09-02,123.427,2.082.701,1.959.274,1.846.699
Facundo Garces,120507,1825522,1705015,1072628,Carre,2025-09-02,120.507,1.825.522,1.705.015,1.072.628
Sergio Herrera,113893,22213575,22099682,20939998,,2025-09-02,113.893,22.213.575,22.099.682,20.939.998
Augusto Batalla,113028,8786296,8673268,8206645,,2025-09-02,113.028,8.786.296,8.673.268,8.206.645
Jesus Vazquez,99985,2282333,2182348,1826568,,2025-09-02,99.985,2.282.333,2.182.348,1.826.568
Diego Rico,94619,7525884,7431265,6200669,,2025-09-02,94.619,7.525.884,7.431.265,6.200.669
Igor Zubeldia,93063,16943497,16850434,15462301,,2025-09-02,93.063,16.943.497,16.850.434,15.462.301
Borja Iglesias,86890,6579425,6492535,7183626,,2025-09-02,86.890,6.579.425,6.492.535,7.183.626
Ivan Romero,84793,1816326,1731533,905634,,2025-09-02,84.793,1.816.326,1.731.533,905.634
Antonio Sivera,82055,9583671,9501616,9078448,Carre,2025-09-02,82.055,9.583.671,9.501.616,9.078.448
Thibaut Courtois,75064,70949943,70874879,68136603,,2025-09-02,75.064,70.949.943,70.874.879,68.136.603
Andres Castrin,73128,1220272,1147144,1144990,,2025-09-02,73.128,1.220.272,1.147.144,1.144.990
Moi Gomez,69568,4671561,4601993,3928966,,2025-09-02,69.568,4.671.561,4.601.993,3.928.966
Örjan Nyland,66303,5906449,5840146,5957952,,2025-09-02,66.303,5.906.449,5.840.146,5.957.952
Aleix Febas,58015,1266676,1208661,1067079,,2025-09-02,58.015,1.266.676,1.208.661,1.067.079
Haissem Hassan,57102,3122214,3065112,3282019,,2025-09-02,57.102,3.122.214,3.065.112,3.282.019
Juanlu Sanchez,56601,2169635,2113034,1719260,,2025-09-02,56.601,2.169.635,2.113.034,1.719.260
Jose Angel Carmona,54705,2018013,1963308,2119732,Enric,2025-09-02,54.705,2.018.013,1.963.308,2.119.732
David Hancko,53421,25574617,25521196,22533958,,2025-09-02,53.421,25.574.617,25.521.196,22.533.958
Marc Aguado,51157,925295,874138,606997,,2025-09-02,51.157,925.295,874.138,606.997
Gabriel Suazo,47618,3618062,3570444,0,,2025-09-02,47.618,3.618.062,3.570.444,0
Nemanja Gudelj,46034,3049627,3003593,2900546,,2025-09-02,46.034,3.049.627,3.003.593,2.900.546
Fernando Calero,42774,1523061,1480287,1741891,,2025-09-02,42.774,1.523.061,1.480.287,1.741.891
Omar El Hilali,40009,4703745,4663736,4977513,,2025-09-02,40.009,4.703.745,4.663.736,4.977.513
Juan Cruz,38193,1922287,1884094,1607342,,2025-09-02,38.193,1.922.287,1.884.094,1.607.342
Manu Fernandez,34076,568246,534170,438327,,2025-09-02,34.076,568.246,534.170,438.327
Jonny Castro,32387,2911381,2878994,2663483,,2025-09-02,32.387,2.911.381,2.878.994,2.663.483
Ilaix Moriba,31595,5118991,5087396,4230287,,2025-09-02,31.595,5.118.991,5.087.396,4.230.287
David Costas,26725,885109,858384,932293,,2025-09-02,26.725,885.109,858.384,932.293
Hugo Alvarez ,25141,2286045,2260904,2053501,Carre,2025-09-02,25.141,2.286.045,2.260.904,2.053.501
Mauro Arambarri,24313,10057043,10032730,9296467,,2025-09-02,24.313,10.057.043,10.032.730,9.296.467
Dani Calvo,22364,1300580,1278216,1415974,,2025-09-02,22.364,1.300.580,1.278.216,1.415.974
Yaser Asprilla,14916,3131725,3116809,3490427,Adri,2025-09-02,14.916,3.131.725,3.116.809,3.490.427
Fran Perez,14338,1446561,1432223,1693221,,2025-09-02,14.338,1.446.561,1.432.223,1.693.221
Pablo Duran,12610,541431,528821,495489,,2025-09-02,12.610,541.431,528.821,495.489
Nacho Vidal,11872,2330351,2318479,2557167,,2025-09-02,11.872,2.330.351,2.318.479,2.557.167
Antonio Blanco,7966,6343673,6335707,6245949,,2025-09-02,7.966,6.343.673,6.335.707,6.245.949
Iñaki Peña,7711,1605444,1597733,1497482,,2025-09-02,7.711,1.605.444,1.597.733,1.497.482
Domingos Duarte,6070,654573,648503,613317,,2025-09-02,6.070,654.573,648.503,613.317
Leo Roman,5957,6531464,6525507,6381419,Swedish,2025-09-02,5.957,6.531.464,6.525.507,6.381.419
Sergio Carreira,4466,1111777,1107311,1129465,,2025-09-02,4.466,1.111.777,1.107.311,1.129.465
Asier Osambela,3268,247879,244611,223684,,2025-09-02,3.268,247.879,244.611,223.684
Pol Tristan,2736,260638,257902,240664,,2025-09-02,2.736,260.638,257.902,240.664
Carlos Dominguez,2260,578614,576354,618567,,2025-09-02,2.260,578.614,576.354,618.567
Roberto Fernandez,2174,5609695,5607521,4617480,Adri,2025-09-02,2.174,5.609.695,5.607.521,4.617.480
Cedric Bakambu,1232,1953116,1951884,2261742,,2025-09-02,1.232,1.953.116,1.951.884,2.261.742
Gregoire Swiderski,859,305670,304811,0,,2025-09-02,859,305.670,304.811,0
Cheli Pereda,859,305670,304811,0,,2025-09-02,859,305.670,304.811,0
Papa Dame Ba,853,305806,304953,300772,,2025-09-02,853,305.806,304.953,300.772
Gibert Jordana,853,305806,304953,300772,,2025-09-02,853,305.806,304.953,300.772
Dimitrios Stamatakis,817,306699,305882,301960,,2025-09-02,817,306.699,305.882,301.960
Raul Chasco,817,306699,305882,301960,,2025-09-02,817,306.699,305.882,301.960
Victor Chust,498,1290120,1289622,1403706,,2025-09-02,498,1.290.120,1.289.622,1.403.706
Antoniu Roca,461,315248,314787,313336,,2025-09-02,461,315.248,314.787,313.336
Mikel Goti,397,316767,316370,315358,,2025-09-02,397,316.767,316.370,315.358
Miguel Roman,289,319365,319076,318816,,2025-09-02,289,319.365,319.076,318.816
Ruben Gomez,289,319365,319076,318816,,2025-09-02,289,319.365,319.076,318.816
Jean Ives Valou,289,319365,319076,318816,,2025-09-02,289,319.365,319.076,318.816
Rafael Romero,289,319365,319076,318816,,2025-09-02,289,319.365,319.076,318.816
Lander Pinillos,289,319365,319076,318816,,2025-09-02,289,319.365,319.076,318.816
Salvi Esquivel,289,319365,319076,318816,,2025-09-02,289,319.365,319.076,318.816
Cayetano Romero,289,319365,319076,318816,,2025-09-02,289,319.365,319.076,318.816
Jofre Torrents,227,320830,320603,320767,,2025-09-02,227,320.830,320.603,320.767
Juanpe Gil,91,324118,324027,325141,,2025-09-02,91,324.118,324.027,325.141
Adrian Molina,10,326039,326029,327697,,2025-09-02,10,326.039,326.029,327.697
Jano Monserrate,10,326039,326029,327697,,2025-09-02,10,326.039,326.029,327.697
Charles Pickel,0,2347870,0,0,,2025-09-02,0,2.347.870,0,0
Azzedine Ounahi,0,967247,0,0,,2025-09-02,0,967.247,0,0
Goduine Koyalipou,0,2988198,0,0,,2025-09-02,0,2.988.198,0,0
Kervin Arriaga,0,2241149,0,0,,2025-09-02,0,2.241.149,0,0
Alan Matturro,0,2610122,0,0,,2025-09-02,0,2.610.122,0,0
Jan Virgili,0,2610122,0,0,,2025-09-02,0,2.610.122,0,0
David Carmo,0,4055412,0,0,,2025-09-02,0,4.055.412,0,0
Odysseas Vlachodimos,0,5869675,0,0,,2025-09-02,0,5.869.675,0,0
Arnau Tenas,0,3735248,0,0,,2025-09-02,0,3.735.248,0,0
Tani Oluwaseyi,0,4589019,0,0,,2025-09-02,0,4.589.019,0,0
Yeray Alvarez,0,4053162,0,0,,2025-09-02,0,4.053.162,0,0
Ramon Martinez,0,292803,0,0,,2025-09-02,0,292.803,0,0
Abdel Abqar,0,1725322,0,0,,2025-09-02,0,1.725.322,0,0
Oriol Romeu,0,1625242,0,0,,2025-09-02,0,1.625.242,0,0
Coke Carrillo,0,1567556,0,0,,2025-09-02,0,1.567.556,0,0
Gorka Rivera,0,1718986,0,0,,2025-09-02,0,1.718.986,0,0
 Diego Mendez,0,1717735,0,0,,2025-09-02,0,1.717.735,0,0
Aitor Fraga,0,1565248,0,0,,2025-09-02,0,1.565.248,0,0
Joan Jordan,0,1746435,0,0,,2025-09-02,0,1.746.435,0,0
Kiko Femenia,0,1742194,0,0,,2025-09-02,0,1.742.194,0,0
Ricard Artero,0,1551762,0,0,,2025-09-02,0,1.551.762,0,0
Hector Fort,0,1648742,0,0,,2025-09-02,0,1.648.742,0,0
Juanmi Jimenez,0,1623358,0,0,,2025-09-02,0,1.623.358,0,0
Jose Luis Catala,0,1720221,0,0,,2025-09-02,0,1.720.221,0,0
 Llorenç Serred,0,1731552,0,0,,2025-09-02,0,1.731.552,0,0
Bryan Gil,0,3796017,0,0,,2025-09-02,0,3.796.017,0,0
Alvaro Fernandez,0,1730936,0,0,,2025-09-02,0,1.730.936,0,0
Eneko Ortiz,0,1718986,0,0,,2025-09-02,0,1.718.986,0,0
Diego Ferrer,0,1733206,0,0,,2025-09-02,0,1.733.206,0,0
Marc Bernal,0,1718998,0,0,,2025-09-02,0,1.718.998,0,0
Egoitz Arana,0,1649660,0,0,,2025-09-02,0,1.649.660,0,0
Pablo Rivera,0,1548667,0,0,,2025-09-02,0,1.548.667,0,0
Alberto Collado,0,1718988,0,0,,2025-09-02,0,1.718.988,0,0
Raul Jimenez,0,1561503,0,0,,2025-09-02,0,1.561.503,0,0
Andres Cuenca,0,1719896,0,0,,2025-09-02,0,1.719.896,0,0
Manu Gonzalez,0,1631999,0,0,,2025-09-02,0,1.631.999,0,0
Wojciech Szczesny,0,15710603,0,0,,2025-09-02,0,15.710.603,0,0
Geronimo Spina,0,1718988,0,0,,2025-09-02,0,1.718.988,0,0
Javi Serrano,0,1623251,0,0,,2025-09-02,0,1.623.251,0,0
Alvaro Cortes,0,1718327,0,0,,2025-09-02,0,1.718.327,0,0
Djordjije Medenica,0,1560264,0,0,,2025-09-02,0,1.560.264,0,0
Guillem Trilla,0,1725175,0,0,,2025-09-02,0,1.725.175,0,0
Raul Martinez,0,1718631,0,0,,2025-09-02,0,1.718.631,0,0
Lucas Garcia,0,1730161,0,0,,2025-09-02,0,1.730.161,0,0
Juan Arango,0,1622800,0,0,,2025-09-02,0,1.622.800,0,0
Enric Garcia,0,1622598,0,0,,2025-09-02,0,1.622.598,0,0
Aleksandar Andreev,0,1636899,0,0,,2025-09-02,0,1.636.899,0,0
Ferran Ruiz,0,1640076,0,0,,2025-09-02,0,1.640.076,0,0
Carlos Gimenez,0,1718547,0,0,,2025-09-02,0,1.718.547,0,0
Aitor Gismera,0,1622985,0,0,,2025-09-02,0,1.622.985,0,0
Antony,0,62835480,0,0,,2025-09-02,0,62.835.480,0,0
Sebas Wade,0,1718385,0,0,,2025-09-02,0,1.718.385,0,0
David Jimenez,0,1622683,0,0,,2025-09-02,0,1.622.683,0,0
Alex Almansa,0,1717457,0,0,,2025-09-02,0,1.717.457,0,0
Isra Dominguez,0,1718237,0,0,,2025-09-02,0,1.718.237,0,0
Egoitz Muñoz,0,1623244,0,0,,2025-09-02,0,1.623.244,0,0
Rayane Belaid,0,1546442,0,0,,2025-09-02,0,1.546.442,0,0
Nobel Mendy,0,1630839,0,0,,2025-09-02,0,1.630.839,0,0
Pablo Busto,0,1621161,0,0,,2025-09-02,0,1.621.161,0,0
Carlos Reina,0,1716501,0,0,,2025-09-02,0,1.716.501,0,0
Pere Joan Garcia,0,1624053,0,0,,2025-09-02,0,1.624.053,0,0
Diego Espejo,0,1716501,0,0,,2025-09-02,0,1.716.501,0,0
Daniel Yañez,0,1547638,0,0,,2025-09-02,0,1.547.638,0,0
Hugo De Llanos,0,1622168,0,0,,2025-09-02,0,1.622.168,0,0
Arkaitz Mariezkurrena,0,1622934,0,0,,2025-09-02,0,1.622.934,0,0
Iñaki Ruperez,0,1626247,0,0,,2025-09-02,0,1.626.247,0,0
Jon Balda,0,1718912,0,0,,2025-09-02,0,1.718.912,0,0
Ismael Santana,0,1723821,0,0,,2025-09-02,0,1.723.821,0,0
Alassane Diatta,0,1621664,0,0,,2025-09-02,0,1.621.664,0,0
Leandro Antonetti,0,1548027,0,0,,2025-09-02,0,1.548.027,0,0
Daouda Doumbia,0,1621458,0,0,,2025-09-02,0,1.621.458,0,0
Endika Bujan,0,1719728,0,0,,2025-09-02,0,1.719.728,0,0
Xavi Pleguezuelo,0,1715892,0,0,,2025-09-02,0,1.715.892,0,0
German Garcia,0,1731507,0,0,,2025-09-02,0,1.731.507,0,0
Martin Cuellar,0,1716371,0,0,,2025-09-02,0,1.716.371,0,0
Oriol Comas,0,1716371,0,0,,2025-09-02,0,1.716.371,0,0
Iñigo Arguibide,0,1621012,0,0,,2025-09-02,0,1.621.012,0,0
Carlos Lumbreras,0,1620788,0,0,,2025-09-02,0,1.620.788,0,0
Pol Fortuny,0,1723146,0,0,,2025-09-02,0,1.723.146,0,0
Mario Rivas,0,1718751,0,0,,2025-09-02,0,1.718.751,0,0
Vicent Abril,0,1728051,0,0,,2025-09-02,0,1.728.051,0,0
Javi Muñoz,0,1018979,0,0,,2025-09-02,0,1.018.979,0,0
Yvan Neyou,0,1036000,0,0,,2025-09-02,0,1.036.000,0,0
Unai Egiluz,0,662187,0,0,,2025-09-02,0,662.187,0,0
Alvaro Lemos,0,1629301,0,0,,2025-09-02,0,1.629.301,0,0
Joseda Alvarez,0,300000,0,0,,2025-09-02,0,300.000,0,0
Ander Sanchez,0,600000,0,0,,2025-09-02,0,600.000,0,0
Gaizka Garcia,0,400000,0,0,,2025-09-02,0,400.000,0,0
Mario Dominguez,0,500000,0,0,,2025-09-02,0,500.000,0,0
Hugo Gonzalez,0,700000,0,0,,2025-09-02,0,700.000,0,0
Ian Forns,0,500000,0,0,,2025-09-02,0,500.000,0,0
Mario Gonzalez,0,760408,0,0,,2025-09-02,0,760.408,0,0
Mihailo Ristic,-691,387304,387995,404022,,2025-09-02,-691,387.304,387.995,404.022
Carlos Alvarez,-903,1220798,1221701,1278385,Carre,2025-09-02,-903,1.220.798,1.221.701,1.278.385
Coba Gomes,-1556,363652,365208,377752,,2025-09-02,-1.556,363.652,365.208,377.752
Ruben Iranzo,-2158,378093,380251,396969,,2025-09-02,-2.158,378.093,380.251,396.969
Joselu Perez,-2158,378093,380251,396969,,2025-09-02,-2.158,378.093,380.251,396.969
Samu Becerra,-2158,378093,380251,396969,,2025-09-02,-2.158,378.093,380.251,396.969
Aimar Blazquez,-2253,380370,382623,400000,,2025-09-02,-2.253,380.370,382.623,400.000
Iliesse Salhi,-2402,383946,386348,0,,2025-09-02,-2.402,383.946,386.348,0
Mauro Echegoyen,-2536,387136,389672,409003,,2025-09-02,-2.536,387.136,389.672,409.003
Toni Martinez,-2927,2334394,2337321,2370425,,2025-09-02,-2.927,2.334.394,2.337.321,2.370.425
Marco De La Sias,-3281,405019,408300,432803,,2025-09-02,-3.281,405.019,408.300,432.803
Jon De Luis,-3302,405561,408863,433521,,2025-09-02,-3.302,405.561,408.863,433.521
Ivan Corralejo,-3302,405561,408863,433521,,2025-09-02,-3.302,405.561,408.863,433.521
Marc Vilaplana,-3302,405561,408863,433521,,2025-09-02,-3.302,405.561,408.863,433.521
Martin Krug,-3302,405561,408863,433521,,2025-09-02,-3.302,405.561,408.863,433.521
Nacho Perez,-3302,405561,408863,433521,,2025-09-02,-3.302,405.561,408.863,433.521
Edu Altozano,-3302,405561,408863,433521,,2025-09-02,-3.302,405.561,408.863,433.521
Fran Gonzalez,-3326,406135,409461,434285,,2025-09-02,-3.326,406.135,409.461,434.285
Chidera Ejuke,-3642,3568611,3572253,2972917,,2025-09-02,-3.642,3.568.611,3.572.253,2.972.917
Yoel Lago,-4028,422963,426991,434377,Adri,2025-09-02,-4.028,422.963,426.991,434.377
Sergio Mestre,-4085,424339,428424,458512,,2025-09-02,-4.085,424.339,428.424,458.512
Mawuli Mensah,-4573,436030,440603,474070,,2025-09-02,-4.573,436.030,440.603,474.070
David Otorbi,-4605,436823,441428,475125,,2025-09-02,-4.605,436.823,441.428,475.125
Alberto Risco,-4605,436823,441428,475125,,2025-09-02,-4.605,436.823,441.428,475.125
Pau Cabanes,-4605,436823,441428,475125,,2025-09-02,-4.605,436.823,441.428,475.125
Marc Domenech,-4605,436823,441428,475125,,2025-09-02,-4.605,436.823,441.428,475.125
Pablo Lopez,-4605,436823,441428,475125,,2025-09-02,-4.605,436.823,441.428,475.125
Toni Fernandez,-4653,437979,442632,476663,,2025-09-02,-4.653,437.979,442.632,476.663
Jon Moncayola,-4670,3724169,3728839,3500191,,2025-09-02,-4.670,3.724.169,3.728.839,3.500.191
Diego Kochen,-4685,438734,443419,477337,,2025-09-02,-4.685,438.734,443.419,477.337
Vladyslav Krapyvtsov,-4723,439663,444386,456325,,2025-09-02,-4.723,439.663,444.386,456.325
Guille Fernandez,-4864,443030,447894,475234,,2025-09-02,-4.864,443.030,447.894,475.234
Javi Rodriguez,-4967,683292,688259,735946,,2025-09-02,-4.967,683.292,688.259,735.946
Ilias Kostis,-5231,451837,457068,495104,,2025-09-02,-5.231,451.837,457.068,495.104
Alberto Flores,-5384,455515,460899,500000,,2025-09-02,-5.384,455.515,460.899,500.000
Miguel Sierra,-5384,455515,460899,500000,,2025-09-02,-5.384,455.515,460.899,500.000
Sergio Lozano,-5405,456007,461412,500654,,2025-09-02,-5.405,456.007,461.412,500.654
Yago Santiago,-5870,467191,473061,515538,,2025-09-02,-5.870,467.191,473.061,515.538
Unai Marrero,-6257,476442,482699,527850,,2025-09-02,-6.257,476.442,482.699,527.850
Jhon Solis,-6320,477963,484283,514135,,2025-09-02,-6.320,477.963,484.283,514.135
Joan Ruiz,-6696,487001,493697,541901,,2025-09-02,-6.696,487.001,493.697,541.901
Raul Fernandez,-6883,491495,498378,547881,,2025-09-02,-6.883,491.495,498.378,547.881
Ruben Sanchez,-6916,492286,499202,548932,,2025-09-02,-6.916,492.286,499.202,548.932
