jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha
Diego Kochen,-3.004,431.136,434.140,462.171,,2025-09-04
Vladyslav Krapyvtsov,-3.040,431.991,435.031,447.761,,2025-09-04
Guille Fernandez,-3.169,435.094,438.263,460.233,,2025-09-04
Ilias Kostis,-3.507,443.211,446.718,478.545,,2025-09-04
Alberto Flores,-3.649,446.600,450.249,483.057,,2025-09-04
Miguel Sierra,-3.649,446.600,450.249,483.057,,2025-09-04
Yago Santiago,-4.097,457.361,461.458,497.377,,2025-09-04
Jhon Solis,-4.511,467.288,471.799,499.028,,2025-09-04
Unai Marrero,-4.512,467.318,471.830,508.723,,2025-09-04
Javi Rodriguez,-4.765,674.930,679.695,712.553,,2025-09-04
Joan Ruiz,-4.858,475.619,480.477,521.673,,2025-09-04
Raul Fernandez,-5.030,479.760,484.790,527.184,,2025-09-04
Ruben Sanchez,-5.061,480.488,485.549,528.153,,2025-09-04
Diego Pampin,-5.186,483.496,488.682,532.156,,2025-09-04
Ovie Ejaria,-5.186,483.496,488.682,532.156,,2025-09-04
Lamine Gueye,-5.186,483.496,488.682,532.156,,2025-09-04
Dani Perez,-5.192,483.627,488.819,532.331,,2025-09-04
Alex Costa,-5.384,488.258,493.642,0,,2025-09-04
Alejandro Iturbe,-5.401,488.663,494.064,539.031,,2025-09-04
Victor Chust,-5.408,1.278.500,1.283.908,1.334.403,,2025-09-04
Alex Fores,-5.578,492.902,498.480,544.674,,2025-09-04
Dani Cardenas,-5.685,495.475,501.160,548.095,,2025-09-04
Cristian Rivero,-5.882,500.200,506.082,554.385,,2025-09-04
Thiago Pitarch,-6.307,510.404,516.711,566.426,,2025-09-04
Youssef Enriquez,-6.553,516.309,522.862,575.821,,2025-09-04
Jesus Fortea,-6.825,522.828,529.653,584.497,,2025-09-04
Marcao,-7.429,537.332,544.761,603.799,,2025-09-04
Marco Esteban,-7.441,537.622,545.063,604.185,,2025-09-04
Bambo Diaby,-7.567,540.647,548.214,608.210,,2025-09-04
Cedric Bakambu,-8.343,1.937.195,1.945.538,2.150.450,,2025-09-04
Jon Moncayola,-8.423,3.724.696,3.733.119,3.605.728,,2025-09-04
Diego Aguado,-8.582,565.000,573.582,640.618,,2025-09-04
Jiri Letacek,-8.737,568.714,577.451,645.560,,2025-09-04
Javi Llabres,-8.810,570.482,579.292,647.913,,2025-09-04
Martim Neto,-9.395,2.332.215,2.341.610,2.291.386,,2025-09-04
Adama Boiro,-9.561,588.493,598.054,671.884,,2025-09-04
German Garcia,-9.639,590.361,600.000,0,,2025-09-04
Theo Folgado,-9.639,590.361,600.000,0,,2025-09-04
Manu Bueno,-9.696,591.745,601.441,676.210,,2025-09-04
Omar Falah,-9.696,591.745,601.441,676.210,,2025-09-04
Albert Niculaesei,-9.773,593.593,603.366,678.668,,2025-09-04
David Lopez,-9.897,596.561,606.458,682.618,,2025-09-04
Adrian De La Fuente,-10.235,604.675,614.910,671.384,,2025-09-04
Ivan Cuellar,-11.171,627.143,638.314,723.316,,2025-09-04
Rahim Alhassane,-11.285,1.323.795,1.335.080,1.489.282,,2025-09-04
Oier Luengo,-11.286,629.906,641.192,726.992,,2025-09-04
Eder Militao,-11.340,36.858.200,36.869.540,38.083.663,,2025-09-04
Marc Vidal,-11.393,632.459,643.852,730.389,,2025-09-04
John Chetauya,-11.452,633.885,645.337,728.278,,2025-09-04
Carlos Espi,-11.952,645.869,657.821,748.237,,2025-09-04
Moussa Diarra,-12.375,656.024,668.399,761.752,,2025-09-04
Juan Musso,-12.494,658.897,671.391,764.987,,2025-09-04
Lucas Bergstrom,-13.005,671.148,684.153,779.282,,2025-09-04
Mourad Daoudi,-13.036,671.904,684.940,782.883,,2025-09-04
Antonio Lato,-14.234,700.652,714.886,821.138,,2025-09-04
Carlos Martin,-14.286,701.886,716.172,821.274,,2025-09-04
Angel Fortuño,-14.646,710.537,725.183,833.395,,2025-09-04
Unai Elgezabal,-14.906,756.562,771.468,828.473,,2025-09-04
Adrian San Miguel,-15.131,722.171,737.302,841.739,,2025-09-04
Brandon Domingues,-15.204,723.922,739.126,852.107,,2025-09-04
Mario Martin,-15.505,1.533.556,1.549.061,1.715.811,,2025-09-04
Alejandro Rego,-16.487,754.725,771.212,893.095,,2025-09-04
Jozhua Vertrouwd,-16.526,755.667,772.193,894.351,,2025-09-04
Abdul Mumin,-16.672,759.154,775.826,898.920,,2025-09-04
Lucas Torro,-17.384,3.457.232,3.474.616,3.612.274,,2025-09-04
Ismael Bekhoucha,-17.419,1.021.200,1.038.619,1.209.115,,2025-09-04
Iker Benito,-17.590,781.183,798.773,928.308,,2025-09-04
Tanguy Nianzou,-17.969,790.289,808.258,940.425,,2025-09-04
Abde Rebbach,-18.417,801.037,819.454,905.986,,2025-09-04
Jon Ander Olasagasti,-18.417,801.044,819.461,954.737,,2025-09-04
Pol Lozano,-18.454,1.460.790,1.479.244,1.670.015,,2025-09-04
Franco Cervi,-18.816,810.619,829.435,961.072,,2025-09-04
Pablo Campos,-19.200,2.919.573,2.938.773,2.822.143,,2025-09-04
Nikola Maras,-19.339,823.166,842.505,984.178,,2025-09-04
Toni Martinez,-19.430,2.297.534,2.316.964,2.352.282,,2025-09-04
Alejandro Primo,-19.456,825.982,845.438,983.832,,2025-09-04
Jorge Cabello,-19.789,833.959,853.748,918.847,Enric,2025-09-04
Kike Barja,-19.992,838.847,858.839,1.005.043,,2025-09-04
Leo Roman,-20.626,6.468.180,6.488.806,6.450.131,Swedish,2025-09-04
Leo Petrot,-20.657,854.789,875.446,1.004.727,,2025-09-04
Oriol Rey,-20.803,1.236.704,1.257.507,1.290.785,,2025-09-04
Ivan Villar,-20.883,860.234,881.117,1.028.821,,2025-09-04
Victor Parada,-21.361,931.301,952.662,962.138,Carre,2025-09-04
Miguel Angel Rubio,-22.392,1.852.268,1.874.660,1.824.133,,2025-09-04
Joel Roca,-22.895,2.463.734,2.486.629,2.797.260,,2025-09-04
Ilyas Chaira,-22.964,3.588.251,3.611.215,3.415.722,,2025-09-04
Josan Ferrandez,-23.131,914.172,937.303,1.105.285,,2025-09-04
Azzedine Ounahi,-23.299,918.213,941.512,0,,2025-09-04
Unai Gomez,-23.536,923.887,947.423,1.118.213,,2025-09-04
Unai Vencedor,-23.547,924.148,947.695,1.118.561,,2025-09-04
Jose Salinas,-23.658,926.824,950.482,1.122.122,,2025-09-04
Alejandro Frances,-23.673,927.175,950.848,1.121.384,,2025-09-04
Damian Rodriguez,-24.296,942.142,966.438,1.142.507,,2025-09-04
Omar Mascarell,-24.822,954.758,979.580,1.115.081,,2025-09-04
Iker Muñoz,-24.861,955.700,980.561,1.160.548,,2025-09-04
Abdon Prats,-25.574,972.808,998.382,1.180.153,,2025-09-04
Jon Gorrotxategi,-25.722,2.011.161,2.036.883,2.221.821,,2025-09-04
Victor Garcia,-25.768,977.451,1.003.219,1.185.766,,2025-09-04
Lucas Ahijado,-26.228,1.151.450,1.177.678,1.411.827,,2025-09-04
Luka Ilic,-26.408,1.726.069,1.752.477,1.961.704,,2025-09-04
 Miguel Narvaez,-26.493,994.865,1.021.358,1.204.380,,2025-09-04
Abel Bretones,-26.522,995.566,1.022.088,1.207.892,,2025-09-04
Alvaro Odriozola,-26.878,1.004.112,1.030.990,1.224.860,,2025-09-04
Hugo Rincon,-27.095,1.009.321,1.036.416,1.219.909,,2025-09-04
Aitor Fernandez,-27.217,1.012.235,1.039.452,1.224.471,,2025-09-04
Denis Suarez,-27.233,1.184.398,1.211.631,1.404.271,,2025-09-04
Beñat Prados,-27.487,1.428.344,1.455.831,1.671.098,,2025-09-04
