jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,propietario,fecha
David Carmo,-122.245,3.810.417,3.932.662,0,,2025-09-04
Akor Adams,-127.879,4.346.092,4.473.971,5.347.192,,2025-09-04
Valentin Gomez,-129.217,3.974.922,4.104.139,4.937.811,,2025-09-04
David Hancko,-131.168,25.356.496,25.487.664,23.758.005,,2025-09-04
Fabio Cardoso,-131.277,3.868.723,4.000.000,0,,2025-09-04
Ferland Mendy,-131.439,4.004.799,4.136.238,5.030.517,,2025-09-04
Orri Steinn Oskarsson,-133.055,4.885.814,5.018.869,4.884.792,Swedish,2025-09-04
Filip Ugrinic,-133.973,4.083.960,4.217.933,5.081.981,,2025-09-04
David Lopez,-136.684,4.340.139,4.476.823,5.315.008,,2025-09-04
Marcos Alonso,-141.079,12.261.746,12.402.825,12.287.093,Enric,2025-09-04
Umar Sadiq,-141.930,4.426.559,4.568.489,5.444.374,,2025-09-04
Rodrygo Goes,-144.108,17.220.064,17.364.172,16.942.604,,2025-09-04
Iñigo Ruiz De Galarreta,-144.202,8.894.112,9.038.314,8.973.317,,2025-09-04
Aimar Oroz,-146.710,15.286.841,15.433.551,15.270.656,,2025-09-04
Koke Resurreccion,-146.769,4.665.667,4.812.436,5.765.052,,2025-09-04
Alex Moreno,-147.933,5.671.311,5.819.244,6.620.631,,2025-09-04
Wojciech Szczesny,-150.238,5.104.841,5.255.079,0,,2025-09-04
Abdel Abqar,-151.061,7.836.659,7.987.720,0,Swedish,2025-09-04
Odysseas Vlachodimos,-152.602,5.566.366,5.718.968,0,,2025-09-04
Alberto Moleiro,-158.656,17.590.036,17.748.692,17.678.727,,2025-09-04
Jose Maria Gimenez,-160.355,4.912.845,5.073.200,6.163.135,,2025-09-04
Vedat Muriqi,-162.430,20.008.226,20.170.656,21.648.860,,2025-09-04
Ivan Martin,-172.681,5.642.350,5.815.031,6.963.689,,2025-09-04
Sergi Darder,-177.073,15.328.029,15.505.102,15.990.685,,2025-09-04
Luka Sucic,-177.140,5.600.882,5.778.022,6.888.445,,2025-09-04
Cesar Azpilicueta,-179.355,8.583.029,8.762.384,0,,2025-09-04
Brahim Diaz,-179.417,19.456.222,19.635.639,18.815.350,,2025-09-04
Ferran Jutgla,-183.578,7.973.708,8.157.286,8.500.880,,2025-09-04
Luca Koleosho,-184.759,5.665.603,5.850.362,7.048.569,,2025-09-04
Florian Lejeune,-185.356,15.461.941,15.647.297,16.696.198,,2025-09-04
Marc-Andre Ter Stegen,-193.051,5.896.134,6.089.185,7.389.436,,2025-09-04
Juanmi Jimenez,-193.056,6.323.241,6.516.297,0,,2025-09-04
Fran Garcia,-197.045,6.254.089,6.451.134,7.756.275,,2025-09-04
Thomas Teye,-205.697,9.391.831,9.597.528,10.834.358,,2025-09-04
Ruben Garcia,-207.812,8.324.586,8.532.398,9.752.737,,2025-09-04
Kiko Femenia,-215.902,7.771.818,7.987.720,0,,2025-09-04
Gorka Guruzeta,-217.145,6.929.367,7.146.512,8.460.141,,2025-09-04
Yangel Herrera,-224.501,7.580.905,7.805.406,9.274.648,,2025-09-04
Raul Asencio,-226.349,7.364.526,7.590.875,9.097.605,,2025-09-04
Daley Blind,-233.817,7.162.464,7.396.281,8.858.549,,2025-09-04
Sergio Gomez,-234.508,7.548.345,7.782.853,9.063.064,,2025-09-04
Jose Gaya,-239.138,8.974.383,9.213.521,10.941.697,,2025-09-04
Iago Aspas,-241.872,21.390.155,21.632.027,22.721.313,,2025-09-04
Fermin Lopez,-242.641,14.588.595,14.831.236,16.450.377,Carre,2025-09-04
Conor Gallagher,-250.348,9.210.144,9.460.492,11.147.632,,2025-09-04
Gonçalo Guedes,-254.074,10.025.318,10.279.392,11.787.658,,2025-09-04
Giacomo Raspadori,-256.221,8.238.502,8.494.723,10.142.558,,2025-09-04
Thibaut Courtois,-258.642,70.608.164,70.866.806,69.192.064,,2025-09-04
Dani Parejo,-262.614,8.688.026,8.950.640,10.546.959,,2025-09-04
Axel Witsel,-264.830,8.586.369,8.851.199,10.625.815,,2025-09-04
Eduardo Camavinga,-275.478,10.058.403,10.333.881,12.169.534,,2025-09-04
Gonzalo Garcia,-281.023,9.531.256,9.812.279,11.325.346,,2025-09-04
Johan Mojica,-282.793,10.676.464,10.959.257,12.491.211,,2025-09-04
Pepelu,-285.697,10.471.945,10.757.642,12.089.678,,2025-09-04
Brais Mendez,-293.580,15.470.835,15.764.415,16.792.510,,2025-09-04
Bryan Zaragoza,-310.039,17.615.885,17.925.924,20.212.705,,2025-09-04
Ricardo Rodriguez,-321.353,11.945.790,12.267.143,13.673.872,,2025-09-04
Antonio Raillo,-323.591,15.827.487,16.151.078,17.609.072,Adri,2025-09-04
Daniel Raba,-346.967,16.594.032,16.940.999,17.504.473,,2025-09-04
Gerard Moreno,-368.664,11.569.958,11.938.622,14.421.077,,2025-09-04
Paulo Gazzaniga,-370.297,12.182.095,12.552.392,14.803.891,,2025-09-04
Javi Puado,-375.631,39.093.584,39.469.215,38.295.523,Enric,2025-09-04
Antonio Rudiger,-380.113,22.354.158,22.734.271,21.630.688,,2025-09-04
Pablo Gavi,-380.523,18.515.220,18.895.743,20.438.855,,2025-09-04
Pedri Gonzalez,-381.682,113.982.159,114.363.841,112.996.691,,2025-09-04
Matteo Ruggeri,-387.062,15.672.173,16.059.235,17.720.385,Adri,2025-09-04
Vitor Reis,-404.589,12.776.810,13.181.399,15.863.230,,2025-09-04
Viktor Tsygankov,-407.832,13.316.597,13.724.429,16.004.825,,2025-09-04
Oscar Mingueza,-457.431,22.396.091,22.853.522,25.607.317,,2025-09-04
David Soria,-478.145,25.583.997,26.062.142,27.590.439,,2025-09-04
Renato Veiga,-500.921,19.787.539,20.288.460,22.367.529,,2025-09-04
Pablo Barrios,-502.488,32.970.268,33.472.756,35.494.986,,2025-09-04
Iñaki Williams,-523.330,45.616.622,46.139.952,50.282.585,,2025-09-04
Ante Budimir,-531.139,48.759.587,49.290.726,47.934.763,,2025-09-04
Unai Simon,-537.492,37.669.259,38.206.751,40.611.098,,2025-09-04
Frenkie De Jong,-583.785,52.766.541,53.350.326,57.342.128,,2025-09-04
Alexander Sorloth,-600.967,31.178.335,31.779.302,32.007.630,,2025-09-04
Johnny Cardoso,-619.803,27.099.178,27.718.981,29.852.398,,2025-09-04
Dani Vivian,-628.586,39.614.361,40.242.947,42.262.072,,2025-09-04
Alex Remiro,-630.603,28.066.473,28.697.076,32.109.737,,2025-09-04
Dani Olmo,-673.581,40.099.019,40.772.600,44.558.893,,2025-09-04
Marcos Llorente,-711.997,30.425.503,31.137.500,34.904.113,,2025-09-04
Takefusa Kubo,-734.761,59.272.371,60.007.132,60.996.232,,2025-09-04
Marcus Rashford,-742.700,35.628.748,36.371.448,39.857.165,,2025-09-04
Ronald Araujo,-745.693,28.884.081,29.629.774,31.381.247,,2025-09-04
Ayoze Perez,-746.295,38.825.058,39.571.353,43.304.705,,2025-09-04
Antoine Griezmann,-746.938,30.094.891,30.841.829,35.160.234,,2025-09-04
Robin Le Normand,-775.745,29.498.602,30.274.347,34.119.969,,2025-09-04
Raphinha,-810.155,121.439.300,122.249.455,124.298.114,Enric,2025-09-04
Jan Oblak,-840.699,39.956.426,40.797.125,45.459.696,,2025-09-04
Jules Kounde,-1.050.691,48.090.459,49.141.150,55.252.801,,2025-09-04
Trent Alexander-Arnold,-1.050.826,50.059.980,51.110.806,57.838.268,,2025-09-04
Robert Lewandowski,-1.162.290,66.385.349,67.547.639,73.653.702,,2025-09-04
Isco Alarcon,-1.226.831,40.741.893,41.968.724,50.731.491,,2025-09-04
Alejandro Balde,-1.256.350,52.679.857,53.936.207,60.355.527,,2025-09-04
Pau Cubarsi,-1.493.178,63.677.861,65.171.039,72.442.549,,2025-09-04
Alex Baena,-1.566.287,53.946.766,55.513.053,65.711.090,,2025-09-04
Julian Alvarez,-1.773.943,96.569.925,98.343.868,106.533.741,,2025-09-04
